,USER STORY NAME,USER STORY DESCRIPTION INCL. EXPECTED OUTCOME ,BUSINESS PRIORITY,USER STORY TYPE ,"USER ACCEPTANCE CRITERIA (UAT)

",ESTIMATES,OWNER,SPRINT7,TARGET DATE,DEMO STATUS,SUMMARY of QUALITY ASSURANCE / UAT TESTING ,Business Owner / Requestor,Test Scenario #2,Test Scenario #3,Business Value Type,Business Value Description,COMMENT,Demo Order,DEPLOYMENT,"MONITORING AND FEEDBACK

","Sponsor (KASHA, EJAF, ROCHE, KASHA, RMS, AMEX, DELL)","Value Stream (AI Services, IoT Services, Data Servcies, Core Services, Support & Architecure)"
1,CONSUMER APP AT4T - APP TEMPLATE,"As a developer, I want to create a prototype app using a Google Android Play Store template with a look and feel",HIGH,FEATURE,WORKING SOFTWARE,36,Pamphile,CW 23,,ACCEPTED,,,,,,,,,,,,
2,CONSUMER APP AT4T -CORE  WORKFLOWS & DATA ATTRIBUTES,"As a business/operational analyst, I want to create detailed mock-up screens for workflows #1 to #6 (excluding workflow #3), and document the data attributes required for reading from and writing to the database/systems, so that we can ensure clear and accurate data handling and user interaction for these processes.",HIGH,ENABLER,"1. WORKFLOWS & MOCK-UPS
2. RESULT OF SQL QUERIES ",16,Jambu,CW 23,,ACCEPTED,,,,,,,,,,,,
3,CONSUMER APP AT4T - HEALTH INFO WORKFLOW  & DATA ,"As a commercial analyst, I want to develop a detailed mock-up screen for workflow #3, incorporating data from public health information sources in Kenya. This will ensure the data displayed is compliant with local regulations, enabling us to provide accurate and legally compliant information to users.",HIGH,ENABLER,"1. WORKFLOW & MOCK-UP
2. SNIPPET / EXAMPLE OF HEALTH INFORMATION that will be  embedded in the app ",8,Clemence,CW 23,,ACCEPTED,,,,,,,,,,,,
4,CONSUMER APP AT4T - ABOUT KASHA  & CONTACT SUPPORT ,"As a commercial analyst, I want to develop a detailed mock-up screen for workflow ABOUT KASHA and CONTACT SUPPORT,",HIGH,ENABLER,"1. WORKFLOW & MOCK-UP
2. SNIPPET / EXAMPLE OF HEALTH INFORMATION that will be  embedded in the app ",8,Clemence,CW 23,,ACCEPTED,,,,,,,,,,,,
5,CONSUMER APP AT4T - SPRINT CW 24 BACKLOG,"As a Product Owner, I want to create the sprint backlog for calendar week 24 - focus on the Consumer APP AT 40 -  so that the team has a clear and prioritized set of tasks to focus on, ensuring efficient and goal-oriented work throughout the sprint.",HIGH,ENABLER,User Stories accepted,16,Marco,CW 23,,ACCEPTED,,,,,,,,,,,,
6,CONSUMER APP Rwanda - PRI 1 WORKFLOW IN APP,"As a developer, I want to develop into the app the workflows for Shop and Register, calling the APIs to connect to Dynamics",HIGH,FEATURE,WORKING SOFTWARE,8,Pamphile,CW 28,,ACCEPTED,,,,,,,Joanna to accept or not,,,,,
7,CONSUMER APP AT4T - LOGIN,"As a user, I want to log in to my account using my username or phone number and password so that I can access personalized features and settings on the Kasha Global platform.
Workflow:
User enters their username or phone number and password on the login form.
The system validates the credentials against the database.
If the credentials are incorrect, the system displays an error message.
On successful login, the user is redirected to their dashboard.
If the user is new, they are redirected to ""create account"" or ""Register"" screen
Functional / Non-Functional Requirements:
Users can log in using either their username or phone number along with their password.
Credentials must be verified for accuracy.
Error messages should be displayed for invalid login attempts.
Redirect users to their dashboard upon successful login.",HIGH,FEATURE,"WORKING SOFTWARE
",4,Pamphile,CW 28,,ACCEPTED,,,,,,,Joanna to accept or not,,,,,
8,CONSUMER APP AT4T - REGISTER,"As a prospective user, I want to register an account to access personalized features and save preferences on the Kasha platform.
Workflow:
User fills out and submits the registration form.
System validates inputs and checks for existing users.
System displays relevant error messages if validation fails.
On successful validation, user data is stored, and a success message is displayed.
User may be redirected to a welcome page or login screen.
User receives a message upon successful registration 
Functional / Non-Functional Requirements:
User must provide a unique username, a valid phone number, an optional email address, and a password that meets security standards.
System checks for uniqueness of the username and phone number, validates the format of the email, and ensures password complexity.
System reads existing user data for uniqueness checks and writes new user data upon successful validation.
Display error messages for validation failures and a success message upon successful registration.
System schedules deliveries from refill date on the prescription/a new field added",HIGH,FEATURE,"WORKING SOFTWARE
",4,Pamphile,CW 28,,ACCEPTED,,,,,,,Joanna to accept or not,,,,,
9,CONSUMER APP AT4T - SHOP,"As a registered user, I want to view products so that I can order on the Kasha Global platform.
Workflow:
User navigates to the 'Products' section in their App.
System displays a list of products, including product name, images, prices, stock availability details.
User can click on individual product of choice to order
User can successfuly add to cart the product chosen
Functional / Non-Functional Requirements:
Display a list of products with details such as the product name, description and quantity.
Allow users to view detailed information about each product in the cart.
Update the list of products  in real-time to reflect the most recent details of products in cart ",HIGH,FEATURE,"WORKING SOFTWARE
",8,Pamphile,CW 28,,ACCEPTED,,,,,,,Joanna to accept or not,,,,,
10,CONSUMER APP Rwanda - APK STORE ON GOOGLE DRIVE,"As a developer, I want to have apk published to a google drive so that the Labs team can download onto their phones",HIGH,FEATURE,WORKING SOFTWARE,8,Pamphile,CW 24,,ACCEPTED,,,,,,,,,,,,
